task,source,status,before_cost,after_cost,before_points,after_points,delta_points,changed,reverted,prune_saved,dedup_saved,scalar_saved,axis_saved,const_axis_saved,identity_count,identity_rewired,n_pass,n_fail,error
task023.onnx,override,ok,68652,68652,13.86319446,13.86319446,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task024.onnx,base,ok,9080,9080,15.88617053,15.88617053,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task025.onnx,override,ok,140093,140093,13.14993823,13.14993823,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task026.onnx,override,ok,724,724,18.41520861,18.41520861,0.00000000,False,False,0,0,0,0,0,0,0,268,0,
task027.onnx,override,ok,5814,5814,16.33197592,16.33197592,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task028.onnx,override,ok,4839,4839,16.51553663,16.51553663,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task029.onnx,override,ok,97117,97117,13.51632828,13.51632828,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task030.onnx,override,ok,10998,10998,15.69453128,15.69453128,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task031.onnx,override,ok,18616,18616,15.16822330,15.16822330,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task032.onnx,base,ok,3405,3405,16.86699978,16.86699978,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task033.onnx,base,ok,55161,55161,14.08198854,14.08198854,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task034.onnx,override,ok,106316,106316,13.42582893,13.42582893,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task035.onnx,override,ok,15363,15363,15.36028270,15.36028270,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task036.onnx,override,ok,79962,79944,13.71069320,13.71091833,0.00022513,True,False,0,0,18,0,0,0,0,265,0,
task037.onnx,base,ok,63726,63726,13.93765208,13.93765208,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
